[1023/165123:ERROR:gpu_info_collector_win.cc(102)] Can't retrieve a valid WinSAT assessment.
[1023/165123:ERROR:proxy_service_factory.cc(103)] Cannot use V8 Proxy resolver in single process mode.
[1023/165217:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[1023/165225:ERROR_REPORT:dom_document_impl.cc(240)] Check failed: node_map_.empty(). 
[1023/165225:ERROR_REPORT:dom_document_impl.cc(244)] Check failed: GetRefCt() == 1 (2 vs. 1)
[1023/165225:ERROR_REPORT:dom_node_impl.cc(387)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(357)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(401)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(454)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(374)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(418)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(387)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(357)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(401)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(454)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(374)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(418)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(387)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(357)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(401)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(454)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(374)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(418)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(387)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(357)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(401)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(454)] Check failed: false. 
[1023/165225:ERROR_REPORT:dom_node_impl.cc(374)] Check failed: false. 
